"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"07/05/2021","19,56","19,87","2,21","19,31","19,88","453,70M"
"07/05/2021","19,56","19,87","2,21","19,31","19,88","453,70M"
"06/05/2021","19,83","19,44","-2,21","19,28","19,93","524,76M"
"06/05/2021","19,83","19,44","-2,21","19,28","19,93","524,76M"
"05/05/2021","19,83","19,88","0,76","19,66","20,07","297,04M"
"05/05/2021","19,83","19,88","0,76","19,66","20,07","297,04M"
"04/05/2021","20,16","19,73","-2,13","19,62","20,21","382,81M"
"04/05/2021","20,16","19,73","-2,13","19,62","20,21","382,81M"
"03/05/2021","20,09","20,16","0,75","19,88","20,23","355,52M"
"03/05/2021","20,09","20,16","0,75","19,88","20,23","355,52M"
"30/04/2021","20,08","20,01","-1,13","19,85","20,37","588,12M"
"30/04/2021","20,08","20,01","-1,13","19,85","20,37","588,12M"
"29/04/2021","20,61","20,24","-1,89","19,89","20,65","695,37M"
"29/04/2021","20,61","20,24","-1,89","19,89","20,65","695,37M"
"28/04/2021","20,92","20,63","-1,43","20,56","21,08","587,32M"
"28/04/2021","20,92","20,63","-1,43","20,56","21,08","587,32M"
"27/04/2021","21,58","20,93","-3,50","20,91","21,63","331,31M"
"27/04/2021","21,58","20,93","-3,50","20,91","21,63","331,31M"
"26/04/2021","21,59","21,69","-0,09","21,48","21,79","422,97M"
"26/04/2021","21,59","21,69","-0,09","21,48","21,79","422,97M"
"23/04/2021","21,24","21,71","2,74","21,11","21,71","555,06M"
"23/04/2021","21,24","21,71","2,74","21,11","21,71","555,06M"
"22/04/2021","21,69","21,13","-2,08","21,09","21,83","481,13M"
"22/04/2021","21,69","21,13","-2,08","21,09","21,83","481,13M"
"20/04/2021","21,62","21,58","-0,23","21,40","21,78","332,20M"
"20/04/2021","21,62","21,58","-0,23","21,40","21,78","332,20M"
"19/04/2021","21,89","21,63","-1,23","21,52","22,13","478,58M"
"19/04/2021","21,89","21,63","-1,23","21,52","22,13","478,58M"
"16/04/2021","22,17","21,90","-1,26","21,74","22,23","432,82M"
"16/04/2021","22,17","21,90","-1,26","21,74","22,23","432,82M"
"15/04/2021","22,20","22,18","0,36","22,08","22,50","408,11M"
"15/04/2021","22,20","22,18","0,36","22,08","22,50","408,11M"
"14/04/2021","22,33","22,10","0,91","21,85","22,33","532,44M"
"14/04/2021","22,33","22,10","0,91","21,85","22,33","532,44M"
"13/04/2021","21,70","21,90","1,25","21,46","21,91","166,49M"
"13/04/2021","21,70","21,90","1,25","21,46","21,91","166,49M"
"12/04/2021","21,76","21,63","-0,09","21,59","21,91","411,87M"
"12/04/2021","21,76","21,63","-0,09","21,59","21,91","411,87M"
"09/04/2021","21,63","21,65","-0,82","21,58","22,00","773,20M"
"09/04/2021","21,63","21,65","-0,82","21,58","22,00","773,20M"
"08/04/2021","20,21","21,83","8,28","20,19","21,88","1,19B"
"08/04/2021","20,21","21,83","8,28","20,19","21,88","1,19B"
"07/04/2021","20,48","20,16","-2,04","20,01","20,51","505,33M"
"07/04/2021","20,48","20,16","-2,04","20,01","20,51","505,33M"
"06/04/2021","20,32","20,58","0,88","20,04","20,70","539,41M"
"06/04/2021","20,32","20,58","0,88","20,04","20,70","539,41M"
"05/04/2021","20,58","20,40","-0,10","19,91","20,71","547,52M"
"05/04/2021","20,58","20,40","-0,10","19,91","20,71","547,52M"
